over,wickets,total_runs,bat1_runs,bat2_runs,year,final_score
1,3,0,0,3,16,159
2,13,0,8,0,16,159
3,18,1,4,1,16,159
4,25,1,2,8,16,159
5,47,1,18,8,16,159
6,64,1,22,21,16,159
7,68,1,24,23,16,159
8,71,1,26,24,16,159
9,74,2,2,25,16,159
10,74,4,0,25,16,159
11,78,4,28,1,16,159
12,87,6,0,28,16,159
13,93,6,32,2,16,159
14,102,6,39,4,16,159
15,109,6,6,44,16,159
16,120,6,53,8,16,159
17,129,7,16,0,16,159
18,138,7,23,1,16,159
19,147,8,3,0,16,159
20,159,8,14,1,16,159
1,3,0,0,3,16,159
2,13,0,8,0,16,159
3,18,1,4,1,16,159
4,25,1,2,8,16,159
5,47,1,18,8,16,159
6,64,1,22,21,16,159
7,68,1,24,23,16,159
8,71,1,26,24,16,159
9,74,2,2,25,16,159
10,74,4,0,25,16,159
11,78,4,28,1,16,159
12,87,6,0,28,16,159
13,93,6,32,2,16,159
14,102,6,39,4,16,159
15,109,6,6,44,16,159
16,120,6,53,8,16,159
17,129,7,16,0,16,159
18,138,7,23,1,16,159
19,147,8,3,0,16,159
20,159,8,14,1,16,159
1,6,0,5,1,16,160
2,10,0,6,3,16,160
3,20,0,7,12,16,160
4,31,0,22,8,16,160
5,41,0,23,17,16,160
6,51,1,5,18,16,160
7,55,1,7,20,16,160
8,63,1,13,21,16,160
9,68,1,23,16,16,160
10,75,1,22,24,16,160
11,79,1,26,24,16,160
12,89,1,32,28,16,160
13,99,1,41,29,16,160
14,120,1,49,42,16,160
15,128,1,48,50,16,160
16,131,1,50,51,16,160
17,150,1,68,52,16,160
18,160,1,76,54,16,160
1,7,0,6,0,16,206
2,17,0,10,6,16,206
3,42,0,30,11,16,206
4,53,0,22,30,16,206
5,67,0,30,35,16,206
6,79,0,37,40,16,206
7,85,0,43,40,16,206
8,90,0,46,42,16,206
9,91,2,0,0,16,206
10,93,2,1,1,16,206
11,97,2,3,3,16,206
12,102,2,6,5,16,206
13,118,2,19,8,16,206
14,130,2,29,10,16,206
15,136,3,15,1,16,206
16,152,3,28,4,16,206
17,159,3,6,29,16,206
18,174,4,7,37,16,206
19,196,4,58,8,16,206
20,206,5,64,10,16,206
1,7,0,6,0,16,206
2,17,0,10,6,16,206
3,42,0,30,11,16,206
4,53,0,22,30,16,206
5,67,0,30,35,16,206
6,79,0,37,40,16,206
7,85,0,43,40,16,206
8,90,0,46,42,16,206
9,91,2,0,0,16,206
10,93,2,1,1,16,206
11,97,2,3,3,16,206
12,102,2,6,5,16,206
13,118,2,19,8,16,206
14,130,2,29,10,16,206
15,136,3,15,1,16,206
16,152,3,28,4,16,206
17,159,3,6,29,16,206
18,174,4,7,37,16,206
19,196,4,58,8,16,206
20,206,5,64,10,16,206
1,7,0,1,6,16,196
2,16,0,8,7,16,196
3,35,0,27,7,16,196
4,43,0,34,8,16,196
5,56,0,19,35,16,196
6,72,0,21,49,16,196
7,86,0,50,34,16,196
8,98,0,61,35,16,196
9,112,0,64,46,16,196
10,117,0,46,69,16,196
11,133,0,52,76,16,196
12,134,1,0,77,16,196
13,145,2,3,0,16,196
14,145,2,3,0,16,196
15,158,2,7,8,16,196
16,165,2,10,12,16,196
17,177,2,22,12,16,196
18,183,3,17,0,16,196
19,190,4,1,23,16,196
20,196,6,1,27,16,196
1,6,0,3,3,16,179
2,15,0,12,3,16,179
3,26,0,7,19,16,179
4,31,0,22,8,16,179
5,42,0,19,22,16,179
6,48,1,1,27,16,179
7,52,2,2,29,16,179
8,57,2,33,3,16,179
9,69,2,4,44,16,179
10,73,2,4,47,16,179
11,81,2,7,51,16,179
12,96,3,9,1,16,179
13,101,3,3,12,16,179
14,115,3,11,18,16,179
15,127,3,19,21,16,179
16,133,3,24,22,16,179
17,143,4,29,3,16,179
18,159,5,37,3,16,179
19,167,6,0,5,16,179
20,179,7,11,5,16,179
1,6,0,3,3,16,179
2,15,0,12,3,16,179
3,26,0,7,19,16,179
4,31,0,22,8,16,179
5,42,0,19,22,16,179
6,48,1,1,27,16,179
7,52,2,2,29,16,179
8,57,2,33,3,16,179
9,69,2,4,44,16,179
10,73,2,4,47,16,179
11,81,2,7,51,16,179
12,96,3,9,1,16,179
13,101,3,3,12,16,179
14,115,3,11,18,16,179
15,127,3,19,21,16,179
16,133,3,24,22,16,179
17,143,4,29,3,16,179
18,159,5,37,3,16,179
19,167,6,0,5,16,179
20,179,7,11,5,16,179
1,4,1,2,2,16,130
2,5,2,0,3,16,130
3,9,2,2,5,16,130
4,17,2,3,10,16,130
5,27,2,13,10,16,130
6,33,2,17,12,16,130
7,42,2,24,14,16,130
8,49,2,29,15,16,130
9,57,2,34,18,16,130
10,64,2,35,24,16,130
11,69,2,37,25,16,130
12,75,2,29,39,16,130
13,78,4,1,1,16,130
14,83,4,3,2,16,130
15,92,4,11,2,16,130
16,101,6,18,0,16,130
17,111,7,25,0,16,130
18,121,7,3,32,16,130
19,130,9,36,0,16,130
20,130,10,0,0,16,130
1,4,0,2,2,16,200
2,23,0,20,2,16,200
3,29,0,8,20,16,200
4,49,0,40,8,16,200
5,57,0,9,47,16,200
6,64,0,48,14,16,200
7,77,0,59,16,16,200
8,81,0,61,18,16,200
9,86,1,3,20,16,200
10,92,1,5,24,16,200
11,106,1,29,13,16,200
12,120,2,16,40,16,200
13,128,2,3,42,16,200
14,139,2,46,10,16,200
15,145,3,1,47,16,200
16,157,3,2,56,16,200
17,167,4,63,5,16,200
18,182,5,0,20,16,200
19,192,6,5,5,16,200
20,200,6,5,12,16,200
1,4,0,2,2,16,200
2,23,0,20,2,16,200
3,29,0,8,20,16,200
4,49,0,40,8,16,200
5,57,0,9,47,16,200
6,64,0,48,14,16,200
7,77,0,59,16,16,200
8,81,0,61,18,16,200
9,86,1,3,20,16,200
10,92,1,5,24,16,200
11,106,1,29,13,16,200
12,120,2,16,40,16,200
13,128,2,3,42,16,200
14,139,2,46,10,16,200
15,145,3,1,47,16,200
16,157,3,2,56,16,200
17,167,4,63,5,16,200
18,182,5,0,20,16,200
19,192,6,5,5,16,200
20,200,6,5,12,16,200
1,20,0,18,0,16,140
2,25,0,18,5,16,140
3,29,0,19,7,16,140
4,38,2,4,24,16,140
5,59,2,10,38,16,140
6,62,3,2,39,16,140
7,67,4,2,4,16,140
8,72,4,3,8,16,140
9,79,4,13,4,16,140
10,90,4,9,19,16,140
11,100,4,27,11,16,140
12,106,5,29,1,16,140
13,117,5,33,8,16,140
14,127,5,9,42,16,140
15,133,8,42,1,16,140
16,139,9,3,1,16,140
17,140,10,3,1,16,140
1,7,1,1,1,16,197
2,10,1,1,1,16,197
3,16,1,5,2,16,197
4,28,1,11,5,16,197
5,45,1,12,21,16,197
6,56,1,17,27,16,197
7,60,1,18,30,16,197
8,69,2,0,35,16,197
9,72,2,36,1,16,197
10,86,2,14,37,16,197
11,102,2,46,21,16,197
12,114,2,30,48,16,197
13,121,3,0,54,16,197
14,125,3,56,2,16,197
15,134,4,61,3,16,197
16,149,5,1,16,16,197
17,159,6,1,23,16,197
18,166,6,3,28,16,197
19,181,6,15,30,16,197
20,197,7,44,0,16,197
1,7,1,1,1,16,197
2,10,1,1,1,16,197
3,16,1,5,2,16,197
4,28,1,11,5,16,197
5,45,1,12,21,16,197
6,56,1,17,27,16,197
7,60,1,18,30,16,197
8,69,2,0,35,16,197
9,72,2,36,1,16,197
10,86,2,14,37,16,197
11,102,2,46,21,16,197
12,114,2,30,48,16,197
13,121,3,0,54,16,197
14,125,3,56,2,16,197
15,134,4,61,3,16,197
16,149,5,1,16,16,197
17,159,6,1,23,16,197
18,166,6,3,28,16,197
19,181,6,15,30,16,197
20,197,7,44,0,16,197
1,4,1,4,0,16,149
2,6,1,1,5,16,149
3,7,2,1,6,16,149
4,15,3,13,1,16,149
5,21,3,6,1,16,149
6,41,3,24,2,16,149
7,45,3,26,3,16,149
8,53,4,33,0,16,149
9,61,4,40,1,16,149
10,65,4,2,43,16,149
11,76,5,54,0,16,149
12,81,6,2,56,16,149
13,88,7,1,7,16,149
14,109,7,20,8,16,149
15,115,7,9,25,16,149
16,122,7,31,10,16,149
17,130,7,37,12,16,149
18,141,8,17,43,16,149
19,145,8,45,1,16,149
20,149,9,1,3,16,149
1,6,0,5,1,16,188
2,16,2,9,5,16,188
3,21,2,11,8,16,188
4,31,2,15,14,16,188
5,34,3,15,1,16,188
6,42,3,4,20,16,188
7,48,3,6,24,16,188
8,62,3,13,31,16,188
9,71,3,15,38,16,188
10,81,3,46,17,16,188
11,90,3,18,52,16,188
12,100,3,20,60,16,188
13,109,3,28,61,16,188
14,115,3,63,32,16,188
15,132,3,39,73,16,188
16,150,3,81,48,16,188
17,156,3,52,83,16,188
18,166,3,54,91,16,188
19,178,4,66,0,16,188
20,188,4,1,74,16,188
1,6,0,5,1,16,188
2,16,2,9,5,16,188
3,21,2,11,8,16,188
4,31,2,15,14,16,188
5,34,3,15,1,16,188
6,42,3,4,20,16,188
7,48,3,6,24,16,188
8,62,3,13,31,16,188
9,71,3,15,38,16,188
10,81,3,46,17,16,188
11,90,3,18,52,16,188
12,100,3,20,60,16,188
13,109,3,28,61,16,188
14,115,3,63,32,16,188
15,132,3,39,73,16,188
16,150,3,81,48,16,188
17,156,3,52,83,16,188
18,166,3,54,91,16,188
19,178,4,66,0,16,188
20,188,4,1,74,16,188
1,6,0,2,1,16,191
2,23,0,17,1,16,191
3,30,0,7,18,16,191
4,41,0,22,14,16,191
5,55,0,33,17,16,191
6,62,0,40,17,16,191
7,70,0,22,42,16,191
8,83,0,48,29,16,191
9,89,1,34,1,16,191
10,101,1,42,4,16,191
11,110,1,49,6,16,191
12,119,1,14,50,16,191
13,136,1,20,61,16,191
14,146,1,29,62,16,191
15,160,1,30,75,16,191
16,167,2,1,36,16,191
17,186,2,54,1,16,191
18,191,3,58,0,16,191
1,3,0,2,1,16,130
2,5,0,2,3,16,130
3,15,0,3,12,16,130
4,26,1,8,18,16,130
5,33,2,6,1,16,130
6,45,2,11,8,16,130
7,52,2,17,9,16,130
8,61,2,21,14,16,130
9,70,3,16,0,16,130
10,75,3,20,1,16,130
11,79,3,4,21,16,130
12,86,4,6,21,16,130
13,89,5,1,8,16,130
14,93,6,11,1,16,130
15,99,6,12,6,16,130
16,101,7,13,1,16,130
17,108,8,15,0,16,130
18,113,8,4,16,16,130
19,120,8,22,5,16,130
20,130,8,31,6,16,130
1,3,0,2,1,16,130
2,5,0,2,3,16,130
3,15,0,3,12,16,130
4,26,1,8,18,16,130
5,33,2,6,1,16,130
6,45,2,11,8,16,130
7,52,2,17,9,16,130
8,61,2,21,14,16,130
9,70,3,16,0,16,130
10,75,3,20,1,16,130
11,79,3,4,21,16,130
12,86,4,6,21,16,130
13,89,5,1,8,16,130
14,93,6,11,1,16,130
15,99,6,12,6,16,130
16,101,7,13,1,16,130
17,108,8,15,0,16,130
18,113,8,4,16,16,130
19,120,8,22,5,16,130
20,130,8,31,6,16,130
1,3,0,3,0,16,132
2,10,0,5,5,16,132
3,23,0,5,17,16,132
4,35,0,27,7,16,132
5,37,1,1,28,16,132
6,42,1,1,33,16,132
7,48,1,39,1,16,132
8,54,2,2,4,16,132
9,60,2,5,7,16,132
10,67,2,11,8,16,132
11,80,2,22,10,16,132
12,86,2,15,22,16,132
13,89,3,0,16,16,132
14,95,3,3,19,16,132
15,102,3,6,23,16,132
16,110,3,25,12,16,132
17,114,4,28,13,16,132
18,132,4,30,1,16,132
1,6,0,1,5,16,157
2,11,0,9,2,16,157
3,12,1,0,9,16,157
4,13,2,0,10,16,157
5,20,2,16,1,16,157
6,27,2,22,2,16,157
7,32,2,4,23,16,157
8,38,2,27,6,16,157
9,43,2,9,29,16,157
10,60,2,18,36,16,157
11,65,3,20,3,16,157
12,68,3,4,22,16,157
13,85,3,39,4,16,157
14,90,3,8,40,16,157
15,99,4,1,48,16,157
16,110,4,50,7,16,157
17,116,5,10,1,16,157
18,124,5,12,6,16,157
19,130,7,17,1,16,157
20,157,7,22,1,16,157
1,6,0,1,5,16,157
2,11,0,9,2,16,157
3,12,1,0,9,16,157
4,13,2,0,10,16,157
5,20,2,16,1,16,157
6,27,2,22,2,16,157
7,32,2,4,23,16,157
8,38,2,27,6,16,157
9,43,2,9,29,16,157
10,60,2,18,36,16,157
11,65,3,20,3,16,157
12,68,3,4,22,16,157
13,85,3,39,4,16,157
14,90,3,8,40,16,157
15,99,4,1,48,16,157
16,110,4,50,7,16,157
17,116,5,10,1,16,157
18,124,5,12,6,16,157
19,130,7,17,1,16,157
20,157,7,22,1,16,157
1,5,1,4,1,16,160
2,10,2,4,2,16,160
3,12,2,3,5,16,160
4,21,3,2,3,16,160
5,27,3,4,7,16,160
6,48,3,24,7,16,160
7,53,3,9,26,16,160
8,57,4,1,28,16,160
9,59,5,1,29,16,160
10,63,5,3,31,16,160
11,67,6,33,2,16,160
12,72,6,36,4,16,160
13,80,6,6,42,16,160
14,83,6,43,8,16,160
15,93,6,16,44,16,160
16,113,7,29,51,16,160
17,123,7,9,52,16,160
18,141,7,9,69,16,160
19,153,7,10,80,16,160
20,160,7,85,12,16,160
1,3,0,1,0,16,148
2,13,0,10,1,16,148
3,24,0,12,10,16,148
4,36,0,21,13,16,148
5,41,1,14,1,16,148
6,52,1,24,2,16,148
7,55,1,25,4,16,148
8,61,2,9,1,16,148
9,67,2,3,12,16,148
10,79,2,19,8,16,148
11,86,2,25,9,16,148
12,96,2,30,14,16,148
13,106,2,36,18,16,148
14,110,3,20,1,16,148
15,119,4,28,2,16,148
16,123,4,5,1,16,148
17,128,5,4,5,16,148
18,133,5,9,1,16,148
19,135,7,0,10,16,148
20,148,8,23,0,16,148
1,3,0,1,0,16,148
2,13,0,10,1,16,148
3,24,0,12,10,16,148
4,36,0,21,13,16,148
5,41,1,14,1,16,148
6,52,1,24,2,16,148
7,55,1,25,4,16,148
8,61,2,9,1,16,148
9,67,2,3,12,16,148
10,79,2,19,8,16,148
11,86,2,25,9,16,148
12,96,2,30,14,16,148
13,106,2,36,18,16,148
14,110,3,20,1,16,148
15,119,4,28,2,16,148
16,123,4,5,1,16,148
17,128,5,4,5,16,148
18,133,5,9,1,16,148
19,135,7,0,10,16,148
20,148,8,23,0,16,148
1,4,0,4,0,16,152
2,6,0,2,4,16,152
3,18,0,6,11,16,152
4,21,0,6,13,16,152
5,35,0,25,7,16,152
6,39,1,28,1,16,152
7,45,1,6,29,16,152
8,48,1,7,31,16,152
9,57,1,15,32,16,152
10,63,1,19,34,16,152
11,72,2,40,22,16,152
12,77,2,43,2,16,152
13,85,2,46,6,16,152
14,96,2,47,15,16,152
15,107,2,56,17,16,152
16,114,2,61,19,16,152
17,130,2,72,24,16,152
18,133,3,26,1,16,152
19,140,4,32,1,16,152
20,152,6,10,0,16,152
1,6,0,1,5,16,173
2,19,1,5,3,16,173
3,35,1,12,12,16,173
4,42,2,18,1,16,173
5,44,3,1,2,16,173
6,50,3,5,3,16,173
7,60,3,13,5,16,173
8,67,4,3,8,16,173
9,73,4,5,12,16,173
10,78,4,10,12,16,173
11,85,4,13,16,16,173
12,102,4,30,16,16,173
13,115,4,32,22,16,173
14,122,6,0,0,16,173
15,125,6,2,1,16,173
16,134,6,9,3,16,173
17,146,7,1,4,16,173
18,153,8,9,3,16,173
19,162,8,10,1,16,173
20,173,9,17,3,16,173
1,6,0,1,5,16,173
2,19,1,5,3,16,173
3,35,1,12,12,16,173
4,42,2,18,1,16,173
5,44,3,1,2,16,173
6,50,3,5,3,16,173
7,60,3,13,5,16,173
8,67,4,3,8,16,173
9,73,4,5,12,16,173
10,78,4,10,12,16,173
11,85,4,13,16,16,173
12,102,4,30,16,16,173
13,115,4,32,22,16,173
14,122,6,0,0,16,173
15,125,6,2,1,16,173
16,134,6,9,3,16,173
17,146,7,1,4,16,173
18,153,8,9,3,16,173
19,162,8,10,1,16,173
20,173,9,17,3,16,173
1,9,0,8,1,16,174
2,18,1,8,8,16,174
3,21,1,10,9,16,174
4,31,1,12,16,16,174
5,49,1,34,12,16,174
6,71,1,46,21,16,174
7,87,1,36,46,16,174
8,91,1,48,38,16,174
9,108,1,64,39,16,174
10,118,2,72,41,16,174
11,124,2,46,1,16,174
12,129,2,3,49,16,174
13,133,2,51,5,16,174
14,140,3,5,53,16,174
15,151,3,61,8,16,174
16,162,3,72,8,16,174
17,174,3,84,8,16,174
1,11,0,9,2,16,152
2,17,0,7,9,16,152
3,26,0,15,10,16,152
4,36,0,18,16,16,152
5,43,1,22,1,16,152
6,60,1,17,23,16,152
7,65,1,21,24,16,152
8,79,1,31,28,16,152
9,89,1,36,33,16,152
10,94,2,3,34,16,152
11,99,2,6,36,16,152
12,101,4,0,1,16,152
13,103,5,1,2,16,152
14,107,5,4,3,16,152
15,111,5,6,5,16,152
16,122,5,15,7,16,152
17,129,6,9,0,16,152
18,139,6,18,1,16,152
19,141,7,2,19,16,152
20,152,9,1,0,16,152
1,11,0,9,2,16,152
2,17,0,7,9,16,152
3,26,0,15,10,16,152
4,36,0,18,16,16,152
5,43,1,22,1,16,152
6,60,1,17,23,16,152
7,65,1,21,24,16,152
8,79,1,31,28,16,152
9,89,1,36,33,16,152
10,94,2,3,34,16,152
11,99,2,6,36,16,152
12,101,4,0,1,16,152
13,103,5,1,2,16,152
14,107,5,4,3,16,152
15,111,5,6,5,16,152
16,122,5,15,7,16,152
17,129,6,9,0,16,152
18,139,6,18,1,16,152
19,141,7,2,19,16,152
20,152,9,1,0,16,152
1,7,0,4,2,16,104
2,19,0,6,12,16,104
3,27,0,8,17,16,104
4,34,0,14,18,16,104
5,35,1,0,15,16,104
6,39,2,2,0,16,104
7,41,3,1,1,16,104
8,44,4,0,4,16,104
9,47,5,1,1,16,104
10,54,5,6,3,16,104
11,58,5,8,5,16,104
12,61,6,10,1,16,104
13,66,7,13,1,16,104
14,67,7,1,14,16,104
15,78,7,24,2,16,104
16,84,7,4,28,16,104
17,99,8,40,7,16,104
18,104,8,3,9,16,104
19,104,10,3,0,16,104
1,8,0,6,1,17,171
2,23,0,7,14,17,171
3,28,0,15,11,17,171
4,39,1,0,16,17,171
5,48,1,24,1,17,171
6,56,1,7,25,17,171
7,61,1,28,9,17,171
8,65,2,30,1,17,171
9,69,3,3,2,17,171
10,80,3,12,4,17,171
11,85,3,6,15,17,171
12,96,3,15,17,17,171
13,101,3,18,19,17,171
14,113,3,21,26,17,171
15,122,3,33,23,17,171
16,136,3,36,34,17,171
17,142,4,39,1,17,171
18,151,4,46,3,17,171
19,160,4,54,4,17,171
20,171,4,64,4,17,171
1,8,0,6,1,17,171
2,23,0,7,14,17,171
3,28,0,15,11,17,171
4,39,1,0,16,17,171
5,48,1,24,1,17,171
6,56,1,7,25,17,171
7,61,1,28,9,17,171
8,65,2,30,1,17,171
9,69,3,3,2,17,171
10,80,3,12,4,17,171
11,85,3,6,15,17,171
12,96,3,15,17,17,171
13,101,3,18,19,17,171
14,113,3,21,26,17,171
15,122,3,33,23,17,171
16,136,3,36,34,17,171
17,142,4,39,1,17,171
18,151,4,46,3,17,171
19,160,4,54,4,17,171
20,171,4,64,4,17,171
1,5,1,3,1,17,151
2,16,1,13,2,17,151
3,26,2,8,2,17,151
4,37,2,18,3,17,151
5,48,2,14,18,17,151
6,50,2,15,19,17,151
7,56,3,17,3,17,151
8,67,3,25,6,17,151
9,72,3,8,27,17,151
10,77,3,10,30,17,151
11,86,3,31,18,17,151
12,98,3,23,37,17,151
13,105,3,42,25,17,151
14,113,4,44,1,17,151
15,117,6,2,2,17,151
16,132,6,7,8,17,151
17,139,9,1,13,17,151
18,151,9,7,18,17,151
1,4,1,0,0,17,177
2,16,1,9,1,17,177
3,22,1,2,10,17,177
4,33,1,12,11,17,177
5,37,1,14,13,17,177
6,47,1,22,15,17,177
7,52,1,26,16,17,177
8,61,1,28,18,17,177
9,69,1,20,33,17,177
10,84,1,34,34,17,177
11,92,2,38,0,17,177
12,97,2,41,2,17,177
13,106,2,44,6,17,177
14,116,2,15,45,17,177
15,120,4,16,3,17,177
16,131,4,20,7,17,177
17,136,4,9,22,17,177
18,154,4,20,29,17,177
19,165,5,2,37,17,177
20,177,5,44,6,17,177
1,4,1,0,0,17,177
2,16,1,9,1,17,177
3,22,1,2,10,17,177
4,33,1,12,11,17,177
5,37,1,14,13,17,177
6,47,1,22,15,17,177
7,52,1,26,16,17,177
8,61,1,28,18,17,177
9,69,1,20,33,17,177
10,84,1,34,34,17,177
11,92,2,38,0,17,177
12,97,2,41,2,17,177
13,106,2,44,6,17,177
14,116,2,15,45,17,177
15,120,4,16,3,17,177
16,131,4,20,7,17,177
17,136,4,9,22,17,177
18,154,4,20,29,17,177
19,165,5,2,37,17,177
20,177,5,44,6,17,177
1,3,0,1,1,17,127
2,10,0,6,2,17,127
3,17,2,11,1,17,127
4,19,3,3,0,17,127
5,24,3,0,5,17,127
6,28,3,2,7,17,127
7,36,3,8,9,17,127
8,37,3,8,10,17,127
9,47,4,5,15,17,127
10,49,5,6,1,17,127
11,53,6,0,3,17,127
12,66,6,4,12,17,127
13,75,6,8,17,17,127
14,83,6,15,18,17,127
15,92,6,26,16,17,127
16,100,7,33,1,17,127
17,106,7,38,2,17,127
18,110,8,2,3,17,127
19,115,8,5,5,17,127
20,127,8,14,7,17,127
1,4,0,2,1,17,143
2,17,0,7,9,17,143
3,20,0,8,11,17,143
4,40,1,31,8,17,143
5,42,2,0,10,17,143
6,48,3,1,1,17,143
7,54,3,4,3,17,143
8,58,3,6,5,17,143
9,62,3,8,7,17,143
10,67,3,10,10,17,143
11,68,3,10,11,17,143
12,74,3,16,11,17,143
13,88,3,18,23,17,143
14,96,4,0,24,17,143
15,101,4,1,27,17,143
16,112,4,36,3,17,143
17,122,4,11,38,17,143
18,134,5,48,1,17,143
19,142,7,1,55,17,143
20,143,10,0,1,17,143
1,4,0,2,1,17,143
2,17,0,7,9,17,143
3,20,0,8,11,17,143
4,40,1,31,8,17,143
5,42,2,0,10,17,143
6,48,3,1,1,17,143
7,54,3,4,3,17,143
8,58,3,6,5,17,143
9,62,3,8,7,17,143
10,67,3,10,10,17,143
11,68,3,10,11,17,143
12,74,3,16,11,17,143
13,88,3,18,23,17,143
14,96,4,0,24,17,143
15,101,4,1,27,17,143
16,112,4,36,3,17,143
17,122,4,11,38,17,143
18,134,5,48,1,17,143
19,142,7,1,55,17,143
20,143,10,0,1,17,143
1,6,0,4,0,17,144
2,13,0,8,3,17,144
3,26,0,8,9,17,144
4,31,0,9,13,17,144
5,35,0,14,12,17,144
6,51,0,27,15,17,144
7,59,0,33,17,17,144
8,62,0,34,18,17,144
9,67,0,21,36,17,144
10,79,0,32,37,17,144
11,100,0,56,33,17,144
12,105,1,60,34,17,144
13,112,1,40,1,17,144
14,114,1,2,41,17,144
15,117,2,2,3,17,144
16,130,2,11,3,17,144
17,137,2,15,6,17,144
18,144,2,22,6,17,144
1,12,0,12,0,17,186
2,20,0,13,7,17,186
3,38,0,10,24,17,186
4,48,0,20,24,17,186
5,62,0,27,31,17,186
6,70,0,37,29,17,186
7,73,1,30,39,17,186
8,83,1,41,7,17,186
9,91,2,1,42,17,186
10,94,2,44,2,17,186
11,97,3,4,1,17,186
12,100,4,2,0,17,186
13,115,4,16,1,17,186
14,125,4,10,17,17,186
15,131,4,23,10,17,186
16,138,4,24,16,17,186
17,152,5,6,27,17,186
18,162,6,35,0,17,186
19,173,6,45,1,17,186
20,186,6,8,51,17,186
1,12,0,12,0,17,186
2,20,0,13,7,17,186
3,38,0,10,24,17,186
4,48,0,20,24,17,186
5,62,0,27,31,17,186
6,70,0,37,29,17,186
7,73,1,30,39,17,186
8,83,1,41,7,17,186
9,91,2,1,42,17,186
10,94,2,44,2,17,186
11,97,3,4,1,17,186
12,100,4,2,0,17,186
13,115,4,16,1,17,186
14,125,4,10,17,17,186
15,131,4,23,10,17,186
16,138,4,24,16,17,186
17,152,5,6,27,17,186
18,162,6,35,0,17,186
19,173,6,45,1,17,186
20,186,6,8,51,17,186
1,4,0,4,0,17,191
2,16,0,8,7,17,191
3,19,1,3,8,17,191
4,34,1,12,14,17,191
5,38,1,15,15,17,191
6,51,1,27,16,17,191
7,66,2,32,1,17,191
8,72,2,4,35,17,191
9,81,2,10,37,17,191
10,87,3,4,39,17,191
11,91,4,5,42,17,191
12,108,4,59,0,17,191
13,118,4,6,63,17,191
14,136,4,64,23,17,191
15,146,4,28,69,17,191
16,158,5,76,1,17,191
17,165,5,79,2,17,191
18,179,5,83,11,17,191
19,184,6,85,1,17,191
20,191,7,7,0,17,191
1,5,0,5,0,17,166
2,19,0,19,0,17,166
3,29,0,20,9,17,166
4,40,0,13,27,17,166
5,49,1,34,14,17,166
6,62,1,2,25,17,166
7,67,2,0,7,17,166
8,72,2,10,2,17,166
9,85,2,13,12,17,166
10,90,2,15,15,17,166
11,97,3,21,1,17,166
12,104,3,2,26,17,166
13,110,3,6,27,17,166
14,125,3,41,7,17,166
15,146,3,60,8,17,166
16,151,4,4,9,17,166
17,158,4,8,12,17,166
18,159,6,8,1,17,166
19,161,7,2,9,17,166
20,166,8,12,0,17,166
1,5,0,5,0,17,166
2,19,0,19,0,17,166
3,29,0,20,9,17,166
4,40,0,13,27,17,166
5,49,1,34,14,17,166
6,62,1,2,25,17,166
7,67,2,0,7,17,166
8,72,2,10,2,17,166
9,85,2,13,12,17,166
10,90,2,15,15,17,166
11,97,3,21,1,17,166
12,104,3,2,26,17,166
13,110,3,6,27,17,166
14,125,3,41,7,17,166
15,146,3,60,8,17,166
16,151,4,4,9,17,166
17,158,4,8,12,17,166
18,159,6,8,1,17,166
19,161,7,2,9,17,166
20,166,8,12,0,17,166
1,5,0,4,0,17,168
2,21,0,15,0,17,168
3,23,0,1,16,17,168
4,38,0,4,28,17,168
5,42,1,3,5,17,168
6,44,3,1,1,17,168
7,48,3,2,3,17,168
8,54,3,4,6,17,168
9,58,3,9,5,17,168
10,69,3,14,10,17,168
11,76,3,16,13,17,168
12,80,3,15,16,17,168
13,86,4,1,16,17,168
14,96,4,23,4,17,168
15,110,4,5,36,17,168
16,120,4,9,41,17,168
17,134,4,51,11,17,168
18,141,4,15,53,17,168
19,151,4,62,15,17,168
20,168,4,71,22,17,168
1,1,0,0,1,17,173
2,7,0,1,6,17,173
3,15,0,7,8,17,173
4,24,1,9,1,17,173
5,33,1,9,10,17,173
6,39,1,15,10,17,173
7,45,2,0,16,17,173
8,53,2,1,23,17,173
9,59,2,27,3,17,173
10,76,2,32,14,17,173
11,84,3,2,20,17,173
12,91,3,26,3,17,173
13,102,3,10,30,17,173
14,111,3,36,11,17,173
15,119,4,39,2,17,173
16,131,4,49,3,17,173
17,141,4,57,5,17,173
18,149,5,64,1,17,173
19,164,6,8,1,17,173
20,173,6,13,5,17,173
1,1,0,0,1,17,173
2,7,0,1,6,17,173
3,15,0,7,8,17,173
4,24,1,9,1,17,173
5,33,1,9,10,17,173
6,39,1,15,10,17,173
7,45,2,0,16,17,173
8,53,2,1,23,17,173
9,59,2,27,3,17,173
10,76,2,32,14,17,173
11,84,3,2,20,17,173
12,91,3,26,3,17,173
13,102,3,10,30,17,173
14,111,3,36,11,17,173
15,119,4,39,2,17,173
16,131,4,49,3,17,173
17,141,4,57,5,17,173
18,149,5,64,1,17,173
19,164,6,8,1,17,173
20,173,6,13,5,17,173
1,17,0,2,10,17,174
2,20,0,3,12,17,174
3,38,1,13,1,17,174
4,45,1,18,3,17,174
5,52,1,9,18,17,174
6,66,1,18,22,17,174
7,74,1,29,19,17,174
8,84,1,37,21,17,174
9,99,1,51,22,17,174
10,107,1,28,53,17,174
11,123,1,31,66,17,174
12,130,1,32,72,17,174
13,146,1,81,39,17,174
14,162,1,50,86,17,174
